#,Id,TelegramUserId,FoodId,WeightGrams,AddedOn
197,1194,79307128,23,3.00,2022-06-11 21:30:17.0794700
198,1195,79307128,1030,103.00,2022-06-11 21:33:08.0213050
199,1196,79307128,1030,96.00,2022-06-11 22:08:58.4929800
200,1197,79307128,18,,2022-06-12 13:35:12.5796970
201,1198,79307128,2,71.00,2022-06-12 13:37:44.9168160
202,1202,79307128,2,75.00,2022-06-12 14:40:00.7038790
203,1211,79307128,1093,,2022-06-12 17:00:53.6051870
204,1212,79307128,29,334.00,2022-06-12 22:47:14.3748460
205,1213,79307128,1049,124.00,2022-06-12 22:48:32.2662780
206,1214,79307128,1025,30.00,2022-06-12 22:55:57.8097580
207,1215,79307128,1095,10.00,2022-06-12 22:57:45.0318260
208,1216,79307128,1065,24.00,2022-06-12 23:01:34.6709940
209,1217,79307128,1049,100.00,2022-06-12 23:04:13.2892750
210,1218,79307128,1096,29.00,2022-06-12 23:07:49.7525930
211,1219,79307128,29,139.00,2022-06-12 23:11:28.2765960
212,1220,79307128,1049,93.00,2022-06-12 23:25:05.9950750
213,1221,79307128,1096,18.00,2022-06-12 23:27:25.3959310
214,1222,79307128,29,114.00,2022-06-12 23:32:58.2534920
215,1223,79307128,1025,14.00,2022-06-12 23:33:54.8633140
216,1224,79307128,1096,15.00,2022-06-12 23:39:27.8489820
217,1225,79307128,25,,2022-06-13 12:10:52.5889780
218,1226,79307128,1097,100.00,2022-06-13 12:36:27.8519450
219,1227,79307128,1095,10.00,2022-06-13 15:04:30.6130870
220,1228,79307128,2,81.00,2022-06-13 15:04:42.8088000
221,1229,79307128,2,64.00,2022-06-13 17:08:56.8184880
222,1230,79307128,1062,,2022-06-13 17:09:27.9752320
223,1231,79307128,29,366.00,2022-06-13 21:57:38.3887610
224,1232,79307128,1030,139.00,2022-06-13 21:58:17.5526150
225,1233,79307128,1065,12.00,2022-06-13 22:01:06.0233430
226,1234,79307128,1025,33.00,2022-06-13 22:11:15.9102440
227,1235,79307128,1095,10.00,2022-06-13 22:12:16.4801770
228,1236,79307128,1096,45.00,2022-06-13 22:15:38.0819590
229,1237,79307128,29,137.00,2022-06-13 22:19:35.7345670
230,1238,79307128,1025,21.00,2022-06-13 22:22:16.0521840
231,1239,79307128,1030,110.00,2022-06-13 22:24:58.8806800
232,1240,79307128,1030,115.00,2022-06-13 22:44:21.1150930
233,1241,79307128,1098,104.00,2022-06-13 22:45:47.7442200
234,1242,79307128,18,,2022-06-14 10:38:30.5347540
235,1243,79307128,2,74.00,2022-06-14 10:44:05.4768480
236,2117,79307128,2,74.00,2022-06-15 13:50:54.4054860
237,2118,79307128,2,60.00,2022-06-15 13:51:00.5545250
238,2119,79307128,1020,,2022-06-15 13:51:22.3820770
239,2120,79307128,2055,250.00,2022-06-15 13:53:13.3284090
240,2121,79307128,2056,210.00,2022-06-15 15:54:01.6553770
241,2122,79307128,1095,10.00,2022-06-15 15:55:49.2605710
242,2123,79307128,1039,270.00,2022-06-15 19:09:21.3843110
243,2124,79307128,1095,10.00,2022-06-15 19:09:30.7815410
244,2125,79307128,21,335.00,2022-06-15 21:24:03.7504920
245,2126,79307128,1049,122.00,2022-06-15 21:25:02.7389150
246,2127,79307128,1096,28.00,2022-06-15 21:27:40.4881370
247,2128,79307128,2057,93.00,2022-06-15 21:55:18.6542100
248,2129,79307128,21,157.00,2022-06-15 21:55:34.2715670
249,2130,79307128,1049,130.00,2022-06-15 21:56:23.1303410
250,2131,79307128,2057,30.00,2022-06-15 22:10:33.8318170
251,2132,79307128,1049,44.00,2022-06-15 22:14:24.4972600
252,2133,79307128,1096,19.00,2022-06-15 22:19:15.6872600
253,2134,79307128,2058,,2022-06-16 11:12:44.5585840
254,2135,79307128,2,75.00,2022-06-16 11:15:06.3931350
255,2136,79307128,1062,,2022-06-16 15:31:13.4650680
256,2137,79307128,2059,,2022-06-16 22:40:56.3885400
257,2138,79307128,1064,351.00,2022-06-16 22:41:51.0651890
258,2139,79307128,1030,151.00,2022-06-16 22:43:14.9296280
259,2140,79307128,2057,83.00,2022-06-16 22:46:32.9119200
260,2141,79307128,1064,160.00,2022-06-16 22:54:29.0759610
261,2142,79307128,1096,9.00,2022-06-16 22:55:17.7592540
262,2143,79307128,1065,17.00,2022-06-16 22:57:40.3964410
263,2144,79307128,2057,64.00,2022-06-16 22:58:44.0910040
264,2145,79307128,1030,122.00,2022-06-16 23:00:06.2614050
265,2146,79307128,1030,96.00,2022-06-16 23:20:18.4103620
266,2147,79307128,1030,38.00,2022-06-16 23:32:39.0465710
267,2148,79307128,1020,,2022-06-17 11:03:11.3176230
268,2149,79307128,2,76.00,2022-06-17 11:04:33.2414460
269,2150,79307128,1020,,2022-06-18 10:50:44.4303790
270,2151,79307128,2,86.00,2022-06-18 10:51:15.9524860
